"tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,5,7,0,0,998,0
2.0,0,5,9,0,0,996,0
3.0,0,7,10,0,0,993,0
4.0,0,8,10,0,0,992,0
5.0,0,9,10,0,0,991,0
6.0,0,9,11,0,0,990,0
7.0,0,10,12,0,1,987,0
8.0,0,10,15,0,1,984,0
9.0,0,11,16,0,1,982,0
10.0,0,11,18,0,1,980,0
11.0,0,12,20,0,2,976,0
12.0,0,14,23,0,2,971,0
13.0,0,17,26,0,2,965,0
14.0,0,19,27,0,2,962,0
15.0,0,20,26,0,3,961,0
16.0,0,22,29,0,3,956,0
17.0,0,24,33,0,4,949,0
18.0,0,24,37,0,4,945,0
19.0,0,28,40,0,4,938,0
20.0,0,28,46,0,5,931,0
21.0,0,25,44,0,13,928,0
22.0,0,34,48,0,15,913,0
23.0,0,35,50,0,18,907,0
24.0,0,38,51,0,20,901,0
25.0,0,39,58,0,22,891,0
26.0,0,40,62,0,23,885,0
27.0,0,44,67,0,24,875,0
28.0,0,47,70,0,29,864,0
29.0,0,49,71,0,34,856,0
30.0,0,49,73,0,39,849,0
31.0,0,57,81,0,40,832,0
32.0,0,60,87,0,44,819,0
33.0,0,65,94,0,48,803,0
34.0,0,67,99,0,56,788,0
35.0,0,70,103,0,60,777,0
36.0,0,72,109,0,62,767,0
37.0,0,70,110,0,68,762,0
38.0,0,69,113,0,75,753,0
39.0,0,73,114,0,79,744,0
40.0,0,75,120,0,84,731,0
41.0,0,81,119,0,89,721,0
42.0,0,82,117,0,96,715,0
43.0,0,76,117,0,110,707,0
44.0,0,74,116,0,119,701,0
45.0,0,73,118,0,126,693,0
46.0,0,80,120,0,135,675,0
47.0,0,79,127,0,142,662,0
48.0,0,77,126,0,152,655,0
49.0,0,75,125,0,165,645,0
50.0,0,79,124,0,175,632,0
51.0,0,77,123,0,183,627,0
52.0,0,73,117,0,198,622,0
53.0,0,74,120,0,208,608,0
54.0,0,75,116,0,221,598,0
55.0,0,72,120,0,236,582,0
56.0,0,68,118,0,248,576,0
57.0,0,68,115,0,257,570,0
58.0,0,73,121,0,266,550,0
59.0,0,75,120,0,274,541,0
60.0,0,71,116,0,284,539,0
61.0,0,74,111,0,296,529,0
62.0,0,74,113,0,308,515,0
63.0,0,79,111,0,315,505,0
64.0,0,82,112,0,321,495,0
