"tick","Dead","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,11,0,0,999,0
2.0,0,12,0,0,997,0
3.0,0,14,0,0,995,0
4.0,0,15,0,0,992,0
5.0,0,15,0,0,990,0
6.0,0,15,0,2,988,0
7.0,0,16,0,3,986,0
8.0,0,18,0,5,983,0
9.0,0,20,0,5,981,0
10.0,0,20,0,5,981,0
11.0,0,20,0,6,979,0
12.0,0,22,0,6,977,0
13.0,0,22,0,6,977,0
14.0,0,23,0,6,976,0
15.0,0,24,0,9,972,0
16.0,0,26,0,9,966,0
17.0,1,26,0,9,966,0
18.0,1,27,0,10,963,0
19.0,1,29,0,10,961,0
20.0,1,32,0,10,957,0
21.0,1,30,0,23,950,0
22.0,1,30,0,24,947,0
23.0,1,30,0,26,944,0
24.0,1,29,0,28,942,0
25.0,1,29,0,30,941,0
26.0,1,33,0,32,937,0
27.0,1,34,0,34,934,0
28.0,1,34,0,35,933,0
29.0,1,34,0,38,928,0
30.0,1,35,0,39,924,0
31.0,1,35,0,39,923,0
32.0,1,34,0,41,923,0
33.0,1,36,0,42,918,0
34.0,1,38,0,43,915,0
35.0,1,37,0,44,915,0
36.0,1,35,0,49,912,0
37.0,1,35,0,55,909,0
38.0,1,40,0,55,904,0
39.0,1,41,0,59,896,0
40.0,1,43,0,61,890,0
41.0,1,42,0,65,888,0
42.0,1,40,0,71,884,0
43.0,1,40,0,75,883,0
44.0,1,42,0,77,876,0
45.0,1,42,0,80,874,0
46.0,1,44,0,82,872,0
47.0,1,44,0,86,868,0
48.0,1,42,0,89,867,0
49.0,1,42,0,90,865,0
50.0,1,40,0,94,864,0
51.0,1,39,0,98,863,0
52.0,1,40,0,99,861,0
53.0,1,43,0,99,858,0
54.0,1,40,0,104,858,0
55.0,1,38,0,108,856,0
56.0,1,39,0,109,855,0
57.0,1,42,0,112,850,0
58.0,1,40,0,116,847,0
59.0,1,40,0,122,841,0
60.0,1,37,0,129,840,0
61.0,1,37,0,135,836,0
62.0,1,37,0,138,832,0
63.0,1,37,0,142,829,0
64.0,1,38,0,143,827,0
65.0,1,38,0,147,825,0
66.0,1,36,0,150,824,0
67.0,1,39,0,152,819,0
68.0,1,39,0,157,814,0
69.0,1,40,0,159,811,0
70.0,1,42,0,161,808,0
71.0,1,50,0,163,799,0
72.0,1,53,0,163,794,0
73.0,1,54,0,165,792,0
74.0,1,60,0,167,783,0
