"tick","Dead","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1.0,0,0,0,0,999,0
2.0,0,0,0,0,998,0
3.0,0,0,0,0,998,0
4.0,0,0,0,0,996,0
5.0,0,0,0,0,996,0
6.0,0,0,0,0,994,0
7.0,0,0,0,1,994,0
8.0,0,0,0,2,993,0
9.0,0,0,0,2,991,0
10.0,0,0,0,3,988,0
11.0,0,0,0,3,988,0
12.0,0,0,0,3,988,0
13.0,0,0,0,3,986,0
14.0,0,0,0,4,986,0
15.0,0,0,0,4,985,0
16.0,0,0,0,4,984,0
17.0,0,0,0,6,983,0
18.0,0,0,0,7,982,0
19.0,0,0,0,7,977,0
20.0,0,0,0,7,970,0
21.0,0,0,0,15,967,0
22.0,0,0,0,15,964,0
23.0,0,0,0,15,962,0
24.0,0,0,0,16,958,0
25.0,0,0,0,17,957,0
26.0,0,0,0,17,955,0
27.0,0,0,0,18,951,0
28.0,0,0,0,18,947,0
29.0,0,0,0,20,941,0
30.0,0,0,0,23,933,0
31.0,0,0,0,26,927,0
32.0,0,0,0,26,922,0
33.0,0,0,0,27,920,0
34.0,0,0,0,30,917,0
35.0,0,0,0,30,906,0
36.0,0,0,0,31,895,0
37.0,0,0,0,32,890,0
38.0,0,0,0,32,879,0
39.0,0,0,0,35,876,0
40.0,0,0,0,41,872,0
41.0,0,0,0,48,860,0
42.0,0,0,0,49,852,0
43.0,0,0,0,52,848,0
44.0,0,0,0,55,845,0
45.0,0,0,0,59,840,0
46.0,0,0,0,60,831,0
47.0,0,0,0,63,822,0
48.0,0,0,0,67,816,0
49.0,0,0,0,70,802,0
50.0,0,0,0,76,791,0
51.0,0,0,0,85,787,0
52.0,0,0,0,92,780,0
53.0,0,0,0,97,771,0
54.0,1,0,0,100,757,0
55.0,1,0,0,105,753,0
56.0,1,0,0,116,747,0
57.0,1,0,0,124,739,0
58.0,1,0,0,128,729,0
59.0,1,0,0,136,718,0
60.0,1,0,0,141,715,0
61.0,1,0,0,148,708,0
62.0,1,0,0,161,697,0
63.0,2,0,0,169,688,0
64.0,2,0,0,174,677,0
65.0,2,0,0,177,670,0
66.0,2,0,0,183,658,0
67.0,2,0,0,192,648,0
68.0,2,0,0,202,638,0
69.0,2,0,0,207,631,0
70.0,2,0,0,219,626,0
71.0,2,0,0,231,622,0
72.0,2,0,0,241,617,0
73.0,3,0,0,250,607,0
74.0,3,0,0,258,601,0
75.0,3,0,0,269,599,0
76.0,3,0,0,276,593,0
77.0,3,0,0,282,586,0
78.0,3,0,0,289,577,0
79.0,3,0,0,300,571,0
80.0,3,0,0,310,564,0
81.0,4,0,0,315,555,0
82.0,5,0,0,325,551,0
83.0,5,0,0,333,547,0
84.0,5,0,0,342,539,0
85.0,5,0,0,351,533,0
86.0,5,0,0,358,531,0
87.0,5,0,0,366,522,0
88.0,5,0,0,376,516,0
89.0,5,0,0,381,513,0
90.0,5,0,0,386,509,0
91.0,5,0,0,391,508,0
92.0,5,0,0,395,498,0
93.0,5,0,0,399,489,0
94.0,5,0,0,410,485,0
95.0,5,0,0,416,482,0
96.0,5,0,0,419,478,0
97.0,5,0,0,425,477,0
98.0,5,0,0,431,471,0
99.0,5,0,0,438,465,0
100.0,5,0,0,444,454,0
101.0,5,0,0,449,444,0
102.0,5,0,0,458,440,0
103.0,5,0,0,461,434,0
104.0,5,0,0,465,432,0
105.0,5,0,0,473,426,0
106.0,5,0,0,478,423,0
107.0,5,0,0,482,419,0
108.0,6,0,0,492,417,0
109.0,6,0,0,497,412,0
110.0,7,0,0,499,410,0
111.0,7,0,0,503,404,0
112.0,7,0,0,505,399,0
113.0,7,0,0,514,397,0
114.0,7,0,0,522,391,0
115.0,7,0,0,529,387,0
116.0,7,0,0,532,384,0
117.0,7,0,0,536,381,0
118.0,7,0,0,539,375,0
119.0,7,0,0,546,369,0
120.0,7,0,0,553,363,0
121.0,7,0,0,563,359,0
122.0,7,0,0,571,354,0
123.0,7,0,0,575,351,0
124.0,7,0,0,581,349,0
125.0,7,0,0,584,345,0
126.0,7,0,0,591,341,0
127.0,7,0,0,595,340,0
128.0,7,0,0,598,337,0
129.0,7,0,0,600,335,0
130.0,7,0,0,606,335,0
131.0,7,0,0,608,333,0
132.0,8,0,0,610,331,0
133.0,8,0,0,610,325,0
134.0,8,0,0,611,321,0
135.0,8,0,0,615,315,0
136.0,8,0,0,619,310,0
137.0,8,0,0,621,306,0
138.0,9,0,0,625,303,0
139.0,9,0,0,630,302,0
140.0,9,0,0,638,298,0
141.0,9,0,0,644,297,0
142.0,9,0,0,648,294,0
143.0,9,0,0,654,290,0
144.0,9,0,0,656,288,0
145.0,9,0,0,659,287,0
146.0,9,0,0,663,285,0
147.0,9,0,0,668,284,0
148.0,9,0,0,670,283,0
149.0,9,0,0,674,281,0
150.0,9,0,0,676,281,0
151.0,9,0,0,676,280,0
152.0,9,0,0,676,276,0
153.0,9,0,0,679,276,0
154.0,9,0,0,685,274,0
155.0,9,0,0,688,272,0
156.0,9,0,0,695,271,0
157.0,9,0,0,699,267,0
158.0,9,0,0,701,265,0
159.0,9,0,0,703,264,0
160.0,9,0,0,704,263,0
161.0,9,0,0,707,261,0
162.0,10,0,0,709,261,0
163.0,11,0,0,712,260,0
164.0,11,0,0,714,257,0
165.0,11,0,0,716,256,0
166.0,11,0,0,716,256,0
167.0,11,0,0,719,256,0
168.0,11,0,0,720,255,0
169.0,11,0,0,721,254,0
170.0,11,0,0,723,253,0
171.0,11,0,0,723,253,0
172.0,11,0,0,724,250,0
173.0,11,0,0,725,249,0
174.0,11,0,0,726,249,0
175.0,11,0,0,728,249,0
176.0,11,0,0,731,246,0
177.0,11,0,0,732,245,0
178.0,11,0,0,735,245,0
179.0,11,0,0,737,243,0
180.0,11,0,0,737,243,0
181.0,11,0,0,737,242,0
182.0,11,0,0,739,241,0
183.0,11,0,0,739,241,0
184.0,11,0,0,741,238,0
185.0,11,0,0,744,236,0
186.0,11,0,0,745,236,0
187.0,11,0,0,745,233,0
188.0,11,0,0,745,231,0
189.0,11,0,0,747,230,0
190.0,11,0,0,748,229,0
191.0,11,0,0,749,229,0
192.0,11,0,0,750,229,0
193.0,11,0,0,753,229,0
194.0,11,0,0,754,228,0
195.0,11,0,0,755,227,0
196.0,11,0,0,755,225,0
197.0,11,0,0,758,222,0
198.0,11,0,0,759,221,0
199.0,11,0,0,759,221,0
200.0,11,0,0,760,221,0
201.0,11,0,0,760,221,0
202.0,11,0,0,761,220,0
203.0,11,0,0,762,220,0
204.0,11,0,0,762,220,0
205.0,11,0,0,764,220,0
206.0,11,0,0,766,219,0
207.0,11,0,0,766,218,0
208.0,11,0,0,770,217,0
209.0,11,0,0,771,217,0
210.0,11,0,0,772,217,0
211.0,11,0,0,773,217,0
212.0,11,0,0,773,215,0
213.0,11,0,0,773,215,0
214.0,11,0,0,773,215,0
215.0,11,0,0,774,215,0
216.0,11,0,0,775,215,0
217.0,11,0,0,776,215,0
218.0,11,0,0,777,215,0
219.0,11,0,0,779,215,0
220.0,11,0,0,779,215,0
221.0,11,0,0,780,215,0
222.0,11,0,0,780,215,0
223.0,11,0,0,781,215,0
224.0,11,0,0,781,215,0
225.0,11,0,0,781,215,0
226.0,11,0,0,781,215,0
227.0,11,0,0,782,215,0
228.0,11,0,0,783,215,0
229.0,11,0,0,783,215,0
230.0,11,0,0,783,215,0
231.0,11,0,0,783,215,0
232.0,11,0,0,783,215,0
233.0,11,0,0,784,215,0
