"tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1.0,0,1,10,13,997,0,0
2.0,0,1,10,13,997,0,0
3.0,0,1,9,17,993,0,1
4.0,0,1,9,22,988,0,1
5.0,0,1,9,26,984,0,1
6.0,0,1,9,31,979,0,1
7.0,0,1,8,32,977,0,3
8.0,0,1,9,35,972,0,4
9.0,0,1,10,38,968,0,4
10.0,0,1,11,42,963,0,4
11.0,0,1,11,43,962,0,4
12.0,0,1,11,45,960,0,4
13.0,0,1,12,45,958,0,5
14.0,0,1,14,47,953,0,6
15.0,0,1,15,49,950,0,6
16.0,0,1,15,50,947,0,8
17.0,0,1,16,54,942,0,8
18.0,0,1,17,60,934,0,9
19.0,0,1,19,62,927,0,12
20.0,0,1,19,70,919,0,12
21.0,0,1,13,62,913,0,32
22.0,0,1,13,62,911,0,34
23.0,0,1,13,63,910,0,34
24.0,0,1,12,58,910,0,40
25.0,0,1,13,57,907,0,43
26.0,0,1,13,54,904,0,49
27.0,0,1,13,52,902,0,53
28.0,0,1,14,54,898,0,54
29.0,0,1,13,56,892,0,59
30.0,0,1,14,59,884,0,63
31.0,0,1,15,55,880,0,70
32.0,0,1,15,61,873,0,71
33.0,0,1,15,67,865,0,73
34.0,0,1,16,71,859,0,74
35.0,0,1,14,68,857,0,81
36.0,0,1,15,71,852,0,82
37.0,0,1,15,74,848,0,83
38.0,0,1,16,72,844,0,88
39.0,0,1,17,68,838,0,97
40.0,0,1,16,67,834,0,103
41.0,0,1,16,70,824,0,110
42.0,0,1,16,65,822,0,117
43.0,0,1,16,68,817,0,119
44.0,0,1,17,71,812,0,120
45.0,0,1,17,71,812,0,120
46.0,0,1,16,76,805,0,123
47.0,0,1,16,74,804,0,126
48.0,0,1,18,74,798,0,130
49.0,0,1,17,75,795,0,133
50.0,0,1,16,74,791,0,139
51.0,0,1,14,70,789,0,147
52.0,0,1,13,68,788,0,151
53.0,0,1,14,63,784,0,159
54.0,0,1,19,62,775,0,164
55.0,0,1,20,61,769,0,170
56.0,0,1,19,62,767,0,172
57.0,0,1,18,60,765,0,177
58.0,0,1,18,62,759,0,181
59.0,0,1,19,65,752,0,184
60.0,0,1,19,62,750,0,189
61.0,0,1,19,61,746,0,194
62.0,0,1,19,57,742,0,202
63.0,0,1,19,60,737,0,204
64.0,0,1,21,62,727,0,210
65.0,0,1,24,62,720,0,214
66.0,0,1,24,67,715,0,214
67.0,0,1,27,64,709,0,220
68.0,0,1,27,67,704,0,222
69.0,0,1,30,70,692,0,228
70.0,0,1,31,71,687,0,231
71.0,0,1,30,70,684,0,236
72.0,0,1,29,74,679,0,238
73.0,0,1,27,79,672,0,242
74.0,0,1,27,83,665,0,245
75.0,0,1,23,85,660,0,252
76.0,0,1,22,84,657,0,257
77.0,0,1,22,84,653,0,261
78.0,0,1,22,85,649,0,264
79.0,0,1,23,81,646,0,270
80.0,0,1,20,82,639,0,279
81.0,0,1,21,91,628,0,280
82.0,0,1,20,91,624,0,285
83.0,0,1,18,88,623,0,291
84.0,0,1,17,90,619,0,294
85.0,0,1,14,84,617,0,305
86.0,0,1,12,87,610,0,311
87.0,0,1,12,86,606,0,316
88.0,0,1,10,87,602,0,321
89.0,0,1,10,84,599,0,327
90.0,0,1,7,84,591,0,338
91.0,0,1,7,85,586,0,342
92.0,0,1,6,85,584,0,345
93.0,0,1,7,81,581,0,351
94.0,0,1,7,76,578,0,359
95.0,0,1,7,73,575,0,365
96.0,0,1,7,73,571,0,369
97.0,0,1,8,72,568,0,372
98.0,0,1,9,79,559,0,373
99.0,0,1,8,81,556,0,375
100.0,0,1,7,80,554,0,379
101.0,0,1,7,73,552,0,388
102.0,0,1,6,67,548,0,399
103.0,0,1,5,67,544,0,404
104.0,0,1,5,68,541,0,406
105.0,0,1,6,64,540,0,410
106.0,0,1,6,66,537,0,411
107.0,0,1,6,67,530,0,417
108.0,0,1,6,68,527,0,419
109.0,0,1,6,65,527,0,422
110.0,0,1,6,62,527,0,425
111.0,0,1,5,61,523,0,431
112.0,0,1,5,57,520,0,438
113.0,0,1,5,57,518,0,440
114.0,0,1,4,56,517,0,443
