"run","numSusceptible","mobility","chanceDeathvA","chanceDeathHospitalisedvA","chanceDeathHospitalisedvB","infectionChancevB","chanceDeathvB","infectionChancevA","numBeds","maskEfficacy","qSymptomatic","chanceRecoveringvA","numVaccinated","chanceRecoveringvB","chanceSymptomsvB","chanceSymptomsvA","maxDaysvA","maxDaysvB","numInfectedvA","numInfectedvB","chanceSevereSymptomsvA","masks","chanceSevereSymptomsvB","randomSeed"
1,990,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,0,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096599604
3,990,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,500,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096601420
5,740,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,0,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096602351
7,740,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,500,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096602607
9,490,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,0,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603231
11,490,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,500,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603272
13,240,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,0,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603562
15,240,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,500,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603583
2,990,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,250,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096599668
4,990,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,750,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096600924
6,740,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,250,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096602489
8,740,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,750,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096602983
10,490,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,250,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603478
12,490,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,750,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603612
14,240,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,250,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603782
16,240,1.0,0.001,0.001,0.001,0.3,0.001,0.25,10,0.5,"false",0.01,750,0.01,0.1,0.1,21,21,10,0,0.01,"false",0.01,1096603833
