"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,10,0,0,0,490,500
1,2.0,0,11,0,0,0,489,500
1,3.0,0,11,0,0,0,489,500
1,4.0,0,13,0,0,1,486,500
1,5.0,0,13,0,0,1,486,500
1,6.0,0,14,0,0,1,485,500
1,7.0,0,14,0,0,1,485,500
1,8.0,0,14,0,0,1,485,500
1,9.0,0,14,0,0,1,485,500
1,10.0,0,14,0,0,2,484,500
1,11.0,0,14,0,0,3,483,500
1,12.0,0,15,0,0,3,482,500
1,13.0,0,15,0,0,3,482,500
1,14.0,0,14,0,0,4,482,500
1,15.0,0,14,0,0,4,482,500
1,16.0,0,16,0,0,4,480,500
1,17.0,0,17,0,0,4,479,500
1,18.0,0,16,0,0,5,479,500
1,19.0,0,15,0,0,6,479,500
1,20.0,0,15,0,0,6,479,500
1,21.0,0,8,0,0,14,478,500
1,22.0,0,8,0,0,14,478,500
1,23.0,0,7,0,0,15,478,500
1,24.0,0,7,0,0,15,478,500
1,25.0,0,5,0,0,17,478,500
1,26.0,0,5,0,0,17,478,500
1,27.0,0,4,0,0,18,478,500
1,28.0,0,4,0,0,18,478,500
1,29.0,0,4,0,0,18,478,500
1,30.0,0,4,0,0,18,478,500
1,31.0,0,4,0,0,18,478,500
1,32.0,0,5,0,0,18,477,500
1,33.0,0,6,0,0,18,476,500
1,34.0,0,6,0,0,18,476,500
1,35.0,0,6,0,0,18,476,500
1,36.0,0,6,0,0,18,476,500
1,37.0,0,4,0,0,20,476,500
1,38.0,0,3,0,0,21,476,500
1,39.0,0,3,0,0,21,476,500
1,40.0,0,3,0,0,21,476,500
1,41.0,0,3,0,0,21,476,500
1,42.0,0,2,0,0,22,476,500
1,43.0,0,2,0,0,22,476,500
1,44.0,0,2,0,0,22,476,500
1,45.0,0,2,0,0,22,476,500
1,46.0,0,2,0,0,22,476,500
1,47.0,0,2,0,0,22,476,500
1,48.0,0,2,0,0,22,476,500
1,49.0,0,2,0,0,22,476,500
1,50.0,0,2,0,0,22,476,500
1,51.0,0,2,0,0,22,476,500
1,52.0,0,2,0,0,22,476,500
1,53.0,0,1,0,0,23,476,500
1,54.0,0,1,0,0,24,475,500
1,55.0,0,2,0,0,24,474,500
1,56.0,0,2,0,0,24,474,500
1,57.0,0,2,0,0,24,474,500
1,58.0,0,2,0,0,24,474,500
1,59.0,0,2,0,0,24,474,500
1,60.0,0,2,0,0,24,474,500
1,61.0,0,2,0,0,24,474,500
1,62.0,0,2,0,0,24,474,500
1,63.0,0,2,0,0,24,474,500
1,64.0,0,3,0,0,24,473,500
1,65.0,0,3,0,0,24,473,500
1,66.0,0,3,0,0,24,473,500
1,67.0,0,3,0,0,24,473,500
1,68.0,0,3,0,0,24,473,500
1,69.0,0,3,0,0,24,473,500
1,70.0,0,3,0,0,24,473,500
1,71.0,0,3,0,0,24,473,500
1,72.0,0,3,0,0,24,473,500
1,73.0,0,4,0,0,24,472,500
1,74.0,0,4,0,0,24,472,500
1,75.0,0,3,0,0,25,472,500
1,76.0,0,2,0,0,26,472,500
1,77.0,0,2,0,0,26,472,500
1,78.0,0,2,0,0,26,472,500
1,79.0,0,2,0,0,26,472,500
1,80.0,0,2,0,0,26,472,500
1,81.0,0,2,0,0,26,472,500
1,82.0,0,3,0,0,26,471,500
1,83.0,0,3,0,0,26,471,500
1,84.0,0,3,0,0,26,471,500
1,85.0,0,2,0,0,27,471,500
1,86.0,0,2,0,0,27,471,500
1,87.0,0,2,0,0,27,471,500
1,88.0,0,2,0,0,27,471,500
1,89.0,0,2,0,0,27,471,500
1,90.0,0,2,0,0,27,471,500
1,91.0,0,2,0,0,27,471,500
1,92.0,0,2,0,0,27,471,500
1,93.0,0,2,0,0,27,471,500
1,94.0,0,1,0,0,28,471,500
1,95.0,0,1,0,0,28,471,500
1,96.0,0,1,0,0,28,471,500
1,97.0,0,1,0,0,28,471,500
1,98.0,0,1,0,0,28,471,500
1,99.0,0,1,0,0,28,471,500
1,100.0,0,1,0,0,28,471,500
1,101.0,0,1,0,0,28,471,500
1,102.0,0,1,0,0,28,471,500
1,103.0,0,0,0,0,29,471,500
