"run","tick","Dead","InfectedvA","InfectedvB","Quarantined","Recovered","Susceptible","Vaccinated"
1,1.0,0,10,0,0,0,240,750
1,2.0,0,10,0,0,0,240,750
1,3.0,0,10,0,0,0,240,750
1,4.0,0,10,0,0,0,240,750
1,5.0,0,10,0,0,0,240,750
1,6.0,0,10,0,0,0,240,750
1,7.0,0,10,0,0,0,240,750
1,8.0,0,10,0,0,0,240,750
1,9.0,0,11,0,0,0,239,750
1,10.0,0,11,0,0,0,239,750
1,11.0,0,11,0,0,0,239,750
1,12.0,0,10,0,0,1,239,750
1,13.0,0,10,0,0,1,239,750
1,14.0,0,10,0,0,1,239,750
1,15.0,0,10,0,0,1,239,750
1,16.0,0,10,0,0,1,239,750
1,17.0,0,10,0,0,1,239,750
1,18.0,0,9,0,0,2,239,750
1,19.0,0,9,0,0,2,239,750
1,20.0,0,9,0,0,2,239,750
1,21.0,0,1,0,0,10,239,750
1,22.0,0,1,0,0,10,239,750
1,23.0,0,1,0,0,10,239,750
1,24.0,0,1,0,0,10,239,750
1,25.0,0,1,0,0,10,239,750
1,26.0,0,2,0,0,10,238,750
1,27.0,0,2,0,0,10,238,750
1,28.0,0,2,0,0,10,238,750
1,29.0,0,2,0,0,10,238,750
1,30.0,0,1,0,0,11,238,750
1,31.0,0,1,0,0,11,238,750
1,32.0,0,1,0,0,11,238,750
1,33.0,0,1,0,0,11,238,750
1,34.0,0,1,0,0,11,238,750
1,35.0,0,1,0,0,11,238,750
1,36.0,0,0,0,0,12,238,750
