"run","tick","Dead","Hospital","InfectedvA","InfectedvB","Susceptible","Vaccinatated","Recovered"
1,1.0,0,1,9,0,990,0,1
1,2.0,0,1,9,0,990,0,1
1,3.0,0,1,9,0,990,0,1
1,4.0,0,1,9,0,990,0,1
1,5.0,0,1,9,0,990,0,1
1,6.0,0,1,10,0,989,0,1
1,7.0,0,1,12,0,987,0,1
1,8.0,0,1,11,0,987,0,2
1,9.0,0,1,13,0,985,0,2
1,10.0,0,1,13,0,985,0,2
1,11.0,0,1,15,0,983,0,2
1,12.0,0,1,15,0,983,0,2
1,13.0,0,1,15,0,983,0,2
1,14.0,0,1,17,0,981,0,2
1,15.0,0,1,18,0,980,0,2
1,16.0,0,1,18,0,980,0,2
1,17.0,0,1,20,0,978,0,2
1,18.0,0,1,24,0,974,0,2
1,19.0,1,1,24,0,973,0,2
1,20.0,1,1,24,0,973,0,2
1,21.0,1,1,17,0,972,0,10
1,22.0,1,1,18,0,971,0,10
1,23.0,1,1,17,0,971,0,11
1,24.0,1,1,17,0,971,0,11
1,25.0,1,1,16,0,971,0,12
1,26.0,1,1,15,0,971,0,13
1,27.0,2,1,14,0,970,0,14
1,28.0,2,1,12,0,970,0,16
1,29.0,2,1,15,0,967,0,16
1,30.0,2,1,14,0,966,0,18
1,31.0,2,1,14,0,966,0,18
1,32.0,2,1,13,0,965,0,20
1,33.0,2,1,14,0,964,0,20
1,34.0,2,1,16,0,962,0,20
1,35.0,3,1,15,0,961,0,21
1,36.0,3,1,14,0,961,0,22
1,37.0,3,1,14,0,961,0,22
1,38.0,3,1,16,0,958,0,23
1,39.0,3,1,14,0,958,0,25
1,40.0,3,1,13,0,958,0,26
1,41.0,3,1,13,0,958,0,26
1,42.0,3,1,12,0,958,0,27
1,43.0,3,1,11,0,958,0,28
1,44.0,3,1,13,0,956,0,28
1,45.0,3,1,13,0,956,0,28
1,46.0,3,1,13,0,956,0,28
1,47.0,3,1,14,0,954,0,29
1,48.0,3,1,13,0,954,0,30
1,49.0,3,1,13,0,954,0,30
1,50.0,3,1,14,0,951,0,32
1,51.0,3,1,13,0,951,0,33
1,52.0,3,1,15,0,949,0,33
1,53.0,3,1,14,0,949,0,34
1,54.0,3,1,15,0,947,0,35
1,55.0,3,1,14,0,947,0,36
1,56.0,3,1,14,0,946,0,37
1,57.0,3,1,16,0,944,0,37
1,58.0,3,1,17,0,943,0,37
1,59.0,3,1,14,0,943,0,40
1,60.0,3,1,14,0,942,0,41
1,61.0,3,1,15,0,940,0,42
1,62.0,3,1,16,0,939,0,42
1,63.0,3,1,16,0,939,0,42
1,64.0,4,1,17,0,937,0,42
1,65.0,4,1,16,0,935,0,45
1,66.0,4,1,16,0,934,0,46
1,67.0,4,1,16,0,934,0,46
1,68.0,4,1,15,0,933,0,48
1,69.0,4,1,15,0,933,0,48
1,70.0,4,1,16,0,932,0,48
1,71.0,4,1,16,0,932,0,48
1,72.0,4,1,15,0,932,0,49
1,73.0,4,1,17,0,928,0,51
1,74.0,5,1,15,0,928,0,52
1,75.0,5,1,15,0,928,0,52
1,76.0,5,1,16,0,927,0,52
1,77.0,5,1,18,0,925,0,52
1,78.0,5,1,17,0,925,0,53
1,79.0,5,1,19,0,922,0,54
1,80.0,5,1,19,0,922,0,54
1,81.0,5,1,18,0,921,0,56
1,82.0,5,1,21,0,917,0,57
1,83.0,5,1,20,0,917,0,58
1,84.0,5,1,19,0,917,0,59
1,85.0,6,1,17,0,917,0,60
1,86.0,6,1,17,0,916,0,61
1,87.0,6,1,17,0,915,0,62
1,88.0,6,1,17,0,915,0,62
1,89.0,6,1,16,0,915,0,63
1,90.0,6,1,16,0,915,0,63
1,91.0,6,1,15,0,914,0,65
1,92.0,6,1,17,0,912,0,65
1,93.0,6,1,17,0,912,0,65
1,94.0,6,1,17,0,910,0,67
1,95.0,6,1,18,0,909,0,67
1,96.0,6,1,18,0,909,0,67
1,97.0,6,1,17,0,908,0,69
1,98.0,6,1,14,0,908,0,72
1,99.0,6,1,14,0,908,0,72
1,100.0,6,1,12,0,908,0,74
1,101.0,6,1,11,0,908,0,75
1,102.0,7,1,11,0,907,0,75
1,103.0,7,1,10,0,906,0,77
1,104.0,7,1,12,0,904,0,77
1,105.0,7,1,12,0,904,0,77
1,106.0,7,1,12,0,904,0,77
1,107.0,7,1,12,0,903,0,78
1,108.0,7,1,11,0,903,0,79
1,109.0,7,1,11,0,903,0,79
1,110.0,7,1,12,0,902,0,79
1,111.0,7,1,12,0,902,0,79
1,112.0,7,1,12,0,901,0,80
1,113.0,7,1,10,0,901,0,82
1,114.0,7,1,10,0,901,0,82
1,115.0,7,1,10,0,900,0,83
1,116.0,7,1,9,0,900,0,84
1,117.0,7,1,9,0,900,0,84
1,118.0,7,1,8,0,900,0,85
1,119.0,7,1,9,0,899,0,85
1,120.0,7,1,10,0,898,0,85
1,121.0,7,1,11,0,897,0,85
1,122.0,8,1,11,0,896,0,85
1,123.0,8,1,10,0,896,0,86
1,124.0,8,1,11,0,894,0,87
1,125.0,8,1,10,0,893,0,89
1,126.0,9,1,9,0,893,0,89
1,127.0,9,1,9,0,893,0,89
1,128.0,9,1,9,0,892,0,90
1,129.0,9,1,9,0,892,0,90
1,130.0,10,1,10,0,890,0,90
1,131.0,10,1,7,0,890,0,93
1,132.0,10,1,7,0,890,0,93
1,133.0,10,1,7,0,890,0,93
1,134.0,10,1,9,0,888,0,93
1,135.0,10,1,8,0,888,0,94
1,136.0,10,1,8,0,887,0,95
1,137.0,10,1,9,0,886,0,95
1,138.0,10,1,8,0,886,0,96
1,139.0,10,1,10,0,884,0,96
1,140.0,10,1,10,0,884,0,96
1,141.0,10,1,10,0,884,0,96
1,142.0,10,1,9,0,884,0,97
1,143.0,10,1,9,0,884,0,97
1,144.0,10,1,9,0,884,0,97
1,145.0,10,1,9,0,884,0,97
1,146.0,10,1,10,0,883,0,97
1,147.0,10,1,10,0,882,0,98
1,148.0,10,1,10,0,882,0,98
1,149.0,10,1,8,0,882,0,100
1,150.0,10,1,7,0,882,0,101
1,151.0,10,1,7,0,881,0,102
1,152.0,10,1,7,0,881,0,102
1,153.0,10,1,9,0,879,0,102
1,154.0,10,1,10,0,878,0,102
1,155.0,10,1,8,0,878,0,104
1,156.0,10,1,9,0,877,0,104
1,157.0,10,1,9,0,876,0,105
1,158.0,10,1,9,0,876,0,105
1,159.0,10,1,9,0,876,0,105
1,160.0,10,1,7,0,876,0,107
1,161.0,10,1,7,0,876,0,107
1,162.0,10,1,6,0,876,0,108
1,163.0,11,1,6,0,875,0,108
1,164.0,11,1,6,0,875,0,108
1,165.0,11,1,6,0,875,0,108
1,166.0,11,1,6,0,875,0,108
1,167.0,11,1,6,0,875,0,108
1,168.0,11,1,6,0,874,0,109
1,169.0,11,1,6,0,874,0,109
1,170.0,11,1,6,0,874,0,109
1,171.0,11,1,7,0,873,0,109
1,172.0,11,1,8,0,872,0,109
1,173.0,11,1,8,0,872,0,109
1,174.0,11,1,8,0,871,0,110
1,175.0,11,1,7,0,871,0,111
1,176.0,11,1,7,0,871,0,111
1,177.0,11,1,7,0,870,0,112
1,178.0,11,1,6,0,870,0,113
1,179.0,11,1,6,0,870,0,113
1,180.0,11,1,6,0,870,0,113
1,181.0,11,1,6,0,870,0,113
1,182.0,11,1,6,0,870,0,113
1,183.0,11,1,6,0,870,0,113
1,184.0,11,1,5,0,870,0,114
1,185.0,11,1,5,0,870,0,114
1,186.0,11,1,5,0,870,0,114
1,187.0,11,1,5,0,870,0,114
1,188.0,11,1,5,0,870,0,114
1,189.0,11,1,4,0,870,0,115
1,190.0,12,1,3,0,870,0,115
1,191.0,12,1,3,0,870,0,115
1,192.0,12,1,2,0,870,0,116
1,193.0,12,1,2,0,870,0,116
1,194.0,12,1,2,0,870,0,116
1,195.0,12,1,1,0,870,0,117
1,196.0,12,1,2,0,869,0,117
1,197.0,12,1,3,0,868,0,117
1,198.0,12,1,2,0,868,0,118
1,199.0,12,1,2,0,868,0,118
1,200.0,12,1,2,0,868,0,118
1,201.0,12,1,2,0,868,0,118
1,202.0,12,1,2,0,868,0,118
1,203.0,12,1,2,0,868,0,118
1,204.0,12,1,2,0,868,0,118
1,205.0,12,1,2,0,868,0,118
1,206.0,12,1,2,0,868,0,118
1,207.0,12,1,2,0,868,0,118
1,208.0,12,1,2,0,868,0,118
1,209.0,12,1,2,0,868,0,118
1,210.0,12,1,2,0,868,0,118
1,211.0,12,1,3,0,867,0,118
1,212.0,12,1,3,0,867,0,118
1,213.0,12,1,3,0,867,0,118
1,214.0,12,1,3,0,867,0,118
1,215.0,12,1,3,0,867,0,118
1,216.0,12,1,4,0,866,0,118
1,217.0,12,1,3,0,866,0,119
1,218.0,12,1,2,0,866,0,120
1,219.0,12,1,4,0,864,0,120
1,220.0,12,1,4,0,864,0,120
1,221.0,12,1,4,0,864,0,120
1,222.0,12,1,3,0,864,0,121
1,223.0,12,1,3,0,864,0,121
1,224.0,12,1,3,0,864,0,121
1,225.0,12,1,3,0,864,0,121
1,226.0,12,1,3,0,864,0,121
1,227.0,12,1,3,0,864,0,121
1,228.0,12,1,3,0,864,0,121
1,229.0,12,1,3,0,864,0,121
1,230.0,12,1,3,0,864,0,121
1,231.0,12,1,3,0,864,0,121
1,232.0,12,1,2,0,864,0,122
1,233.0,12,1,2,0,864,0,122
1,234.0,12,1,2,0,864,0,122
1,235.0,12,1,2,0,864,0,122
1,236.0,12,1,2,0,864,0,122
1,237.0,12,1,2,0,864,0,122
1,238.0,12,1,2,0,864,0,122
1,239.0,12,1,2,0,864,0,122
1,240.0,12,1,0,0,864,0,124
1,241.0,12,1,0,0,864,0,124
3,1.0,0,1,10,0,990,0,0
3,2.0,1,1,9,0,990,0,0
3,3.0,2,1,10,0,988,0,0
3,4.0,2,1,10,0,988,0,0
3,5.0,2,1,10,0,988,0,0
3,6.0,3,1,9,0,987,0,1
3,7.0,3,1,9,0,986,0,2
3,8.0,3,1,10,0,985,0,2
3,9.0,4,1,9,0,985,0,2
3,10.0,4,1,10,0,984,0,2
3,11.0,4,1,11,0,983,0,2
3,12.0,4,1,12,0,982,0,2
3,13.0,5,1,12,0,981,0,2
3,14.0,5,1,12,0,981,0,2
3,15.0,5,1,12,0,981,0,2
3,16.0,6,1,14,0,978,0,2
3,17.0,6,1,17,0,975,0,2
3,18.0,6,1,18,0,974,0,2
3,19.0,7,1,17,0,974,0,2
3,20.0,7,1,17,0,974,0,2
3,21.0,8,1,14,0,974,0,4
3,22.0,8,1,16,0,972,0,4
3,23.0,8,1,17,0,971,0,4
3,24.0,8,1,18,0,970,0,4
3,25.0,8,1,18,0,970,0,4
3,26.0,9,1,18,0,969,0,4
3,27.0,11,1,17,0,968,0,4
3,28.0,11,1,16,0,968,0,5
3,29.0,12,1,14,0,968,0,6
3,30.0,12,1,15,0,967,0,6
3,31.0,12,1,15,0,967,0,6
3,32.0,13,1,15,0,965,0,7
3,33.0,13,1,14,0,965,0,8
3,34.0,14,1,16,0,962,0,8
3,35.0,14,1,16,0,962,0,8
3,36.0,14,1,18,0,960,0,8
3,37.0,14,1,17,0,958,0,11
3,38.0,14,1,16,0,957,0,13
3,39.0,14,1,15,0,957,0,14
3,40.0,14,1,16,0,956,0,14
3,41.0,14,1,17,0,955,0,14
3,42.0,14,1,21,0,951,0,14
3,43.0,14,1,21,0,949,0,16
3,44.0,17,1,17,0,949,0,17
3,45.0,17,1,18,0,948,0,17
3,46.0,17,1,21,0,945,0,17
3,47.0,17,1,19,0,945,0,19
3,48.0,17,1,19,0,945,0,19
3,49.0,19,1,17,0,944,0,20
3,50.0,19,1,18,0,943,0,20
3,51.0,19,1,17,0,942,0,22
3,52.0,19,1,17,0,942,0,22
3,53.0,19,1,19,0,940,0,22
3,54.0,19,1,19,0,940,0,22
3,55.0,19,1,16,0,940,0,25
3,56.0,21,1,14,0,940,0,25
3,57.0,22,1,13,0,940,0,25
3,58.0,22,1,12,0,940,0,26
3,59.0,22,1,11,0,940,0,27
3,60.0,23,1,10,0,940,0,27
3,61.0,24,1,8,0,940,0,28
3,62.0,24,1,8,0,940,0,28
3,63.0,24,1,5,0,940,0,31
3,64.0,24,1,4,0,940,0,32
3,65.0,24,1,4,0,940,0,32
3,66.0,24,1,4,0,940,0,32
3,67.0,24,1,3,0,940,0,33
3,68.0,25,1,2,0,940,0,33
3,69.0,25,1,2,0,940,0,33
3,70.0,25,1,2,0,940,0,33
3,71.0,25,1,2,0,940,0,33
3,72.0,25,1,2,0,940,0,33
3,73.0,25,1,2,0,940,0,33
3,74.0,25,1,0,0,940,0,35
2,1.0,0,1,11,0,989,0,0
2,2.0,0,1,13,0,987,0,0
2,3.0,0,1,13,0,987,0,0
2,4.0,0,1,14,0,986,0,0
2,5.0,1,1,14,0,985,0,0
2,6.0,1,1,15,0,984,0,0
2,7.0,2,1,15,0,983,0,0
2,8.0,2,1,16,0,982,0,0
2,9.0,2,1,17,0,981,0,0
2,10.0,2,1,18,0,980,0,0
2,11.0,2,1,19,0,979,0,0
2,12.0,2,1,21,0,977,0,0
2,13.0,2,1,23,0,975,0,0
2,14.0,2,1,24,0,974,0,0
2,15.0,2,1,26,0,972,0,0
2,16.0,2,1,28,0,970,0,0
2,17.0,3,1,30,0,967,0,0
2,18.0,3,1,30,0,967,0,0
2,19.0,3,1,32,0,965,0,0
2,20.0,3,1,32,0,965,0,0
2,21.0,3,1,26,0,962,0,9
2,22.0,3,1,27,0,961,0,9
2,23.0,4,1,27,0,958,0,11
2,24.0,4,1,25,0,958,0,13
